date,code,open,close,high,low,vol,amount,up_count,down_count,date_stamp,volume
2019-04-17,000300,4080.72,4087.24,4106.62,4057.5,1803671.0,228824432640.0,125,166,1555430400.0,1803671.0
2019-04-18,000300,4085.11,4072.08,4094.05,4056.24,1465621.0,187812691968.0,81,207,1555516800.0,1465621.0
2019-04-19,000300,4076.3,4120.61,4120.64,4046.2,1507949.0,194701688832.0,206,83,1555603200.0,1507949.0
2019-04-22,000300,4125.97,4025.61,4126.09,4015.48,1893537.0,244380549120.0,47,252,1555862400.0,1893537.0
2019-04-23,000300,4021.63,4019.01,4061.09,4005.28,1556116.0,204121505792.0,81,210,1555948800.0,1556116.0
2019-04-24,000300,4033.63,4030.09,4044.34,3967.81,1454986.0,186497957888.0,200,88,1556035200.0,1454986.0
2019-04-25,000300,4013.6,3941.82,4022.56,3938.33,1597220.0,197530992640.0,23,275,1556121600.0,1597220.0
2019-04-26,000300,3921.89,3889.28,3943.83,3887.25,1420080.0,186572144640.0,61,235,1556208000.0,1420080.0
2019-04-29,000300,3896.58,3900.33,3953.23,3875.45,1538709.0,203946557440.0,120,174,1556467200.0,1538709.0
2019-04-30,000300,3887.18,3913.21,3923.11,3885.15,1162333.0,161665925120.0,207,79,1556553600.0,1162333.0
2019-05-06,000300,3775.08,3684.62,3791.61,3647.14,1974728.0,254115397632.0,5,294,1557072000.0,1974728.0
2019-05-07,000300,3702.27,3720.67,3738.18,3671.83,1328476.0,183659151360.0,230,65,1557158400.0,1328476.0
2019-05-08,000300,3648.55,3667.46,3722.93,3642.5,1128673.0,145058480128.0,71,223,1557244800.0,1128673.0
2019-05-09,000300,3637.35,3599.7,3656.9,3584.82,1010373.0,141829095424.0,31,263,1557331200.0,1010373.0
2019-05-10,000300,3643.06,3730.45,3732.92,3589.29,1480038.0,195067166720.0,297,1,1557417600.0,1480038.0
2019-05-13,000300,3675.76,3668.73,3702.9,3658.0,1033918.0,135053926400.0,51,247,1557676800.0,1033918.0
2019-05-14,000300,3630.44,3645.15,3683.26,3630.44,1023134.0,135262871552.0,73,223,1557763200.0,1023134.0
2019-05-15,000300,3674.99,3727.09,3741.04,3674.99,1101617.0,152534548480.0,293,6,1557849600.0,1101617.0
2019-05-16,000300,3720.04,3743.96,3745.14,3707.9,1162582.0,139851939840.0,201,83,1557936000.0,1162582.0
2019-05-17,000300,3744.88,3648.76,3745.36,3637.58,1284532.0,154092355584.0,9,287,1558022400.0,1284532.0
